n_pos,n_neg,rho_pos,rho_neg,T,burn_in,n_runs,seed,strategy_pos,strategy_neg,strategy_kwargs_pos,strategy_kwargs_neg,threshold,wl_n_iter,n_positive_wins,positive_win_probability,mean_mean_magnetization,std_mean_magnetization,mean_var_magnetization,std_var_magnetization,mean_mean_positive_fraction,std_mean_positive_fraction,mean_mean_negative_fraction,std_mean_negative_fraction,mean_time_to_first_sign_change,std_time_to_first_sign_change,mean_time_to_first_crossing_above_threshold,std_time_to_first_crossing_above_threshold,mean_fraction_time_above_threshold,std_fraction_time_above_threshold,mean_fraction_time_below_threshold,std_fraction_time_below_threshold,mean_stabilization_time,std_stabilization_time,mean_delta_psi_centrality,std_delta_psi_centrality,mean_delta_psi_degree,std_delta_psi_degree,mean_delta_psi_degree_norm,std_delta_psi_degree_norm,mean_delta_psi_dispersion,std_delta_psi_dispersion,mean_delta_psi_hybrid,std_delta_psi_hybrid,mean_delta_psi_rho,std_delta_psi_rho,mean_delta_psi_size,std_delta_psi_size,mean_delta_psi_wl,std_delta_psi_wl,mean_neg_psi_centrality,std_neg_psi_centrality,mean_neg_psi_degree,std_neg_psi_degree,mean_neg_psi_degree_norm,std_neg_psi_degree_norm,mean_neg_psi_dispersion,std_neg_psi_dispersion,mean_neg_psi_hybrid,std_neg_psi_hybrid,mean_neg_psi_rho,std_neg_psi_rho,mean_neg_psi_size,std_neg_psi_size,mean_neg_psi_wl,std_neg_psi_wl,mean_pos_psi_centrality,std_pos_psi_centrality,mean_pos_psi_degree,std_pos_psi_degree,mean_pos_psi_degree_norm,std_pos_psi_degree_norm,mean_pos_psi_dispersion,std_pos_psi_dispersion,mean_pos_psi_hybrid,std_pos_psi_hybrid,mean_pos_psi_rho,std_pos_psi_rho,mean_pos_psi_size,std_pos_psi_size,mean_pos_psi_wl,std_pos_psi_wl,mean_diff_degree_sum,std_diff_degree_sum,mean_diff_pagerank_sum,std_diff_pagerank_sum,mean_diff_dispersion_score,std_diff_dispersion_score,mean_distance_advantage_pos,std_distance_advantage_pos,mean_wl_overlap_fraction_union,std_wl_overlap_fraction_union,mean_diff_wl_coverage_fraction,std_diff_wl_coverage_fraction,graph_n_nodes,graph_n_edges,graph_density,graph_average_degree,graph_degree_variance,graph_degree_skewness,graph_degree_moment_1,graph_degree_moment_2,graph_clustering_coefficient,graph_average_shortest_path_length,graph_largest_component_size,graph_largest_component_fraction,graph_is_connected,graph_degree_assortativity,graph_laplacian_lambda2
10,10,0.0125,0.0125,30000,6000,8,191664963,random,random,{},{},0.0,3,4,0.5,-0.04770169270833332,0.20410124662054432,0.021331412142936216,0.007820306238018286,0.47614915364583404,0.10205062331027014,0.523850846354166,0.10205062331027008,551.125,740.9425344017675,62.625,114.66465079900232,0.4688072916666667,0.3607715957697281,0.5311927083333333,0.3607715957697281,nan,nan,0.003213368966023077,0.0030796689356546976,17.875,17.007876326656927,0.0037379757423672104,0.003556644986753853,0.0016307218977814827,0.015131283075832263,0.001552899794495747,0.0029183819437503555,0.0,0.0,0.0,0.0,0.0,0.0,0.010843144671147761,0.001909097004608693,50.5,10.253919111386491,0.01056043496445002,0.002144274176366895,0.5017512962443238,0.02102323984082581,0.08520884667420608,0.0027620975914191036,0.0125,0.0,10.0,0.0,0.0125,0.0,0.01405651363717084,0.0032791719987112153,68.375,18.585228389388018,0.014298410706817232,0.0038864969446649974,0.5033820181421054,0.014620217323846907,0.08676174646870183,0.0020445754843814233,0.0125,0.0,10.0,0.0,0.0125,0.0,17.875,17.007876326656927,0.003213368966023077,0.0030796689356546976,0.004919858340098879,0.062895067900111,0.13445512820512812,0.08252620538348797,0.0,0.0,0.0,0.0,800.0,2391.0,0.007481226533166458,5.9775,50.22699375,6.465061540521813,5.9775,85.9575,0.03911000624084402,3.387631414267835,800.0,1.0,1.0,-0.08318263229810469,1.2369048627213575
10,20,0.0125,0.025,30000,6000,8,1662057957,random,random,{},{},0.0,3,0,0.0,-0.23122558593750017,0.08441258962307446,0.0114869124732517,0.012137483761357176,0.38438720703125234,0.04220629481153642,0.6156127929687476,0.04220629481153643,3107.5,4269.457752455222,1219.6666666666667,1941.1064542334268,0.058869791666666664,0.08777921561055535,0.9411302083333333,0.08777921561055532,nan,nan,-0.015827408766482632,0.007718828714878192,-78.0,43.34248987508019,-0.01631116687578419,0.009063674168774611,-0.0005159154261128521,0.0246293682905048,-0.012036295720441395,0.002824947240169537,-0.0125,0.0,-10.0,0.0,-0.0125,0.0,0.02643522198103544,0.006468915100926995,127.5,36.602107667650586,0.026662484316185696,0.0076541421304162655,0.5019531147864007,0.012126807929665797,0.09712483672862511,0.002268357470720508,0.025,0.0,20.0,0.0,0.025,0.0,0.010607813214552807,0.0019707673896936983,49.5,10.703804397102395,0.010351317440401506,0.002238353073421664,0.5014371993602879,0.016723113426331856,0.08508854100818372,0.0023172036419786754,0.0125,0.0,10.0,0.0,0.0125,0.0,-78.0,43.34248987508019,-0.015827408766482632,0.007718828714878192,-0.0011436512808124105,0.10003316449694377,-0.3629870129870131,0.19817250505160178,0.0,0.0,-0.0125,0.0,800.0,2391.0,0.007481226533166458,5.9775,50.22699375,6.465061540521813,5.9775,85.9575,0.03911000624084402,3.387631414267835,800.0,1.0,1.0,-0.08318263229810469,1.2369048627213206
10,30,0.0125,0.0375,30000,6000,8,1405681631,random,random,{},{},0.0,3,0,0.0,-0.33757147135416604,0.19782429329201354,0.012031875740702181,0.007601185086894003,0.33121426432291956,0.09891214664600609,0.6687857356770804,0.09891214664600609,1879.5,2133.535641449032,923.0,1804.720292270615,0.014473958333333333,0.031078297638020346,0.9855260416666667,0.03107829763802036,nan,nan,-0.02618873353415718,0.009636460064898811,-126.625,53.577547269621924,-0.026479506482643245,0.011204004029615626,0.008642444416323669,0.015724510305499758,-0.020471460606476588,0.004796576738967015,-0.024999999999999998,0.0,-20.0,0.0,-0.024999999999999998,0.0,0.038926552672215044,0.00832583826388096,187.625,46.42332387927431,0.03923567544960268,0.009707930547736159,0.5008311117815569,0.008312869824166435,0.10760715317459447,0.003004270473508477,0.0375,0.0,30.0,0.0,0.0375,0.0,0.012737819138057868,0.005856911752628402,61.0,32.984845004941285,0.012756168966959431,0.006897709118557357,0.5094735561978807,0.016000283033300193,0.0871356925681179,0.0027406362975665585,0.0125,0.0,10.0,0.0,0.0125,0.0,-126.625,53.577547269621924,-0.02618873353415718,0.009636460064898811,0.03672928726315221,0.065530097434035,-0.4452302631578948,0.17311643569195784,0.0,0.0,-0.024999999999999998,0.0,800.0,2391.0,0.007481226533166458,5.9775,50.22699375,6.465061540521813,5.9775,85.9575,0.03911000624084402,3.387631414267835,800.0,1.0,1.0,-0.08318263229810469,1.2369048627213426
10,40,0.0125,0.05,30000,6000,8,942484272,random,random,{},{},0.0,3,0,0.0,-0.37547174479166606,0.18875092728208528,0.01944839049917249,0.01725321062713263,0.31226412760416977,0.09437546364104121,0.6877358723958302,0.09437546364104119,3053.8,2315.649412152021,2375.8,2499.778430181363,0.06903125,0.1648511424939106,0.93096875,0.16485114249391059,nan,nan,-0.03839223350639818,0.010469290745208512,-184.75,57.598983125944656,-0.0386344625679632,0.012044956739009759,0.007244963962682295,0.02145087210250016,-0.03118531730438477,0.005308711705374834,-0.037500000000000006,0.0,-30.0,0.0,-0.037500000000000006,0.0,0.05043746547117123,0.00885335967162039,241.875,48.692731930516516,0.05058030112923463,0.010182503540467696,0.495499340271541,0.0048026938647583025,0.11702800643596327,0.003681342928495042,0.05,0.0,40.0,0.0,0.05,0.0,0.012045231964773048,0.0029334068492534947,57.125,16.260710755859176,0.011945838561271436,0.0034003995725343317,0.5027443042342232,0.018769266376806322,0.0858426891315785,0.0027326271872775724,0.0125,0.0,10.0,0.0,0.0125,0.0,-184.75,57.598983125944656,-0.03839223350639818,0.010469290745208512,0.031174871597357517,0.08515964210328253,-0.5245000000000001,0.14274041262664683,0.0,0.0,-0.037500000000000006,0.0,800.0,2391.0,0.007481226533166458,5.9775,50.22699375,6.465061540521813,5.9775,85.9575,0.03911000624084402,3.387631414267835,800.0,1.0,1.0,-0.08318263229810469,1.2369048627213353
10,50,0.0125,0.0625,30000,6000,8,929893137,random,random,{},{},0.0,3,0,0.0,-0.4538705859374992,0.14098791951095602,0.015734504733673514,0.022192798014545417,0.2730647070312536,0.07049395975547765,0.7269352929687465,0.07049395975547766,4306.5,5294.108470743681,2870.3333333333335,4493.5142520452,0.001979166666666667,0.005597928684393502,0.9980208333333334,0.005597928684393513,nan,nan,-0.04542059884485787,0.006611432096326489,-214.75,36.50342449688796,-0.04490798828941865,0.007633505750081128,0.005237637921527642,0.01910257512409154,-0.03993215021306738,0.0036668567284337625,-0.05,0.0,-40.0,0.0,-0.05,0.0,0.05807410535452212,0.005639880150171814,274.75,31.097772083726973,0.05745503973232957,0.006503089101574022,0.4980610468221881,0.004509685378697952,0.12606842092964357,0.00228532806414157,0.0625,0.0,50.0,0.0,0.0625,0.0,0.01265350650966425,0.0017334705077087632,60.0,9.621404708847278,0.012547051442910916,0.0020120043305828688,0.5032986847437158,0.019316383436211483,0.08613627071657617,0.0026118321655519273,0.0125,0.0,10.0,0.0,0.0125,0.0,-214.75,36.50342449688796,-0.04542059884485787,0.006611432096326489,0.023534995814677218,0.07781493525184285,-0.5797297297297298,0.10697768060173515,0.0,0.0,-0.05,0.0,800.0,2391.0,0.007481226533166458,5.9775,50.22699375,6.465061540521813,5.9775,85.9575,0.03911000624084402,3.387631414267835,800.0,1.0,1.0,-0.08318263229810469,1.2369048627213497
20,10,0.025,0.0125,30000,6000,8,1843824992,random,random,{},{},0.0,3,7,0.875,0.15780585937500008,0.11898004538553278,0.010800815100613075,0.007547672666075652,0.5789029296874985,0.059490022692764995,0.42109707031250154,0.059490022692764974,315.625,469.11738936006196,37.375,41.94873572077505,0.8730156250000001,0.27012408316605097,0.12698437499999998,0.27012408316605097,nan,nan,0.012319244733152124,0.003685680694354616,58.75,20.700241544484452,0.012285654537850271,0.004328783258988802,-0.006047727767957041,0.019749406007784867,0.009642819923054035,0.0023386851103178443,0.0125,0.0,10.0,0.0,0.0125,0.0,0.010267328586762298,0.0013838085468764055,47.375,7.501190381723233,0.00990694270179841,0.0015686303600424996,0.506083922631229,0.012686157813355954,0.0856300183403138,0.0016895616331218477,0.0125,0.0,10.0,0.0,0.0125,0.0,0.022586573319914423,0.002735114338005479,106.125,15.394224334377581,0.022192597239648684,0.0032192020774524425,0.500036194863272,0.009212191171614183,0.09527283826336783,0.0013844268067737943,0.025,0.0,20.0,0.0,0.025,0.0,58.75,20.700241544484452,0.012319244733152124,0.003685680694354616,-0.02505243654760897,0.07972692944542897,0.3063311688311688,0.09355141546172066,0.0,0.0,0.0125,0.0,800.0,2391.0,0.007481226533166458,5.9775,50.22699375,6.465061540521813,5.9775,85.9575,0.03911000624084402,3.387631414267835,800.0,1.0,1.0,-0.08318263229810469,1.2369048627213413
20,20,0.025,0.025,30000,6000,8,184566854,random,random,{},{},0.0,3,3,0.375,-0.038342200520833356,0.19671743328150187,0.010128461524830473,0.005200387066213405,0.4808288997395838,0.09835871664074873,0.5191711002604161,0.0983587166407487,4553.625,6919.360270543182,2500.125,7011.325581565464,0.37767708333333333,0.3722470782649418,0.6223229166666666,0.37224707826494186,nan,nan,0.002834673916930494,0.008743419749976512,15.375,49.17588694820722,0.003215181932245923,0.010283539721498789,0.001278116948657891,0.017590219115618543,0.001317031218584756,0.002735511915438978,0.0,0.0,0.0,0.0,0.0,0.0,0.023054890687030816,0.004051909090146392,108.625,21.731724670234,0.02271539104976997,0.004544484456343372,0.49790315873226165,0.008887788826247623,0.09513586067725874,0.0017910949132393724,0.025,0.0,20.0,0.0,0.025,0.0,0.02588956460396131,0.005822126495014871,124.0,33.31237436320452,0.025930572982015895,0.006966201247010564,0.4991812756809196,0.01353364052740091,0.0964528918958435,0.0018464306093759265,0.025,0.0,20.0,0.0,0.025,0.0,15.375,49.17588694820722,0.002834673916930494,0.008743419749976512,0.005826148034327683,0.0704945951216617,0.0439144736842105,0.17469224663626,0.0,0.0,0.0,0.0,800.0,2391.0,0.007481226533166458,5.9775,50.22699375,6.465061540521813,5.9775,85.9575,0.03911000624084402,3.387631414267835,800.0,1.0,1.0,-0.08318263229810469,1.2369048627213521
20,30,0.025,0.0375,30000,6000,8,1497586438,random,random,{},{},0.0,3,3,0.375,-0.09641095052083329,0.2219723303301772,0.024115019055288345,0.013087618366555394,0.45179452473958415,0.11098616516508641,0.5482054752604159,0.11098616516508641,2772.8571428571427,4312.804556533618,2761.285714285714,4318.473214547233,0.3606145833333333,0.32965602695256585,0.6393854166666666,0.32965602695256585,nan,nan,-0.0142072834297702,0.010087817457195157,-69.375,55.53875738102691,-0.014507528230865745,0.011614127432251549,-0.003377900216244019,0.019408414026676184,-0.011834319913239619,0.003065905808940302,-0.012499999999999997,0.0,-10.0,0.0,-0.012499999999999997,0.0,0.03782798424109686,0.008257242793064414,180.875,45.545699185386475,0.0378241321622752,0.009524403844706498,0.5035804127659909,0.01196849517270802,0.10752550817169494,0.003002288939177418,0.0375,0.0,30.0,0.0,0.0375,0.0,0.023620700811326664,0.003371250655278793,111.5,18.593393604027366,0.02331660393140945,0.0038882044341337027,0.5002025125497468,0.011263830738227228,0.09569118825845532,0.0009361083159136654,0.025,0.0,20.0,0.0,0.025,0.0,-69.375,55.53875738102691,-0.0142072834297702,0.010087817457195157,-0.013732744332254299,0.07855093271719983,-0.16866666666666674,0.12261489590752297,0.0,0.0,-0.012499999999999997,0.0,800.0,2391.0,0.007481226533166458,5.9775,50.22699375,6.465061540521813,5.9775,85.9575,0.03911000624084402,3.387631414267835,800.0,1.0,1.0,-0.08318263229810469,1.2369048627213282
20,40,0.025,0.05,30000,6000,8,432652533,random,random,{},{},0.0,3,0,0.0,-0.21312177083333347,0.10826698158908822,0.014588613321316205,0.011746359514252238,0.39343911458333525,0.05413349079454286,0.6065608854166646,0.054133490794542834,455.14285714285717,424.15540727875856,447.14285714285717,423.23257143538643,0.06941666666666665,0.07249778663835411,0.9305833333333333,0.07249778663835411,nan,nan,-0.023343089009286673,0.005939642964338379,-110.125,33.17674529804617,-0.023029067335842743,0.006937838832715637,-0.005176060351568694,0.016474382930419088,-0.021336582620280264,0.0032188508336999395,-0.025,0.0,-20.0,0.0,-0.025,0.0,0.048846709145297804,0.006322408511453953,232.875,35.134181565616615,0.04869824341279799,0.007347173058472733,0.5003802555130353,0.009688978345735337,0.1171014235214346,0.0025582275637363737,0.05,0.0,40.0,0.0,0.05,0.0,0.025503620136011124,0.007280943854481173,122.75,40.66149459694199,0.02566917607695525,0.008503031074224591,0.49520419516146663,0.012570907801481603,0.09576484090115434,0.002402248158610571,0.025,0.0,20.0,0.0,0.025,0.0,-110.125,33.17674529804617,-0.023343089009286673,0.005939642964338379,-0.020090251491021283,0.06563597907409999,-0.24121621621621628,0.08391756662406229,0.0,0.0,-0.025,0.0,800.0,2391.0,0.007481226533166458,5.9775,50.22699375,6.465061540521813,5.9775,85.9575,0.03911000624084402,3.387631414267835,800.0,1.0,1.0,-0.08318263229810469,1.236904862721383
